p_id,title,rate,tags,address,url
148,육향,3.6,"육류,고기",울산 남구 삼산중로 24-1 (우)44720,https://place.map.kakao.com/181692408
149,가정식당,4.6,한식,울산 울주군 언양읍 언양로 76 (우)44940,https://place.map.kakao.com/27301841
150,옹심이칼국수,4.4,국수,울산 동구 해수욕장6길 9 (우)44057,https://place.map.kakao.com/16546279
151,상해,3.4,중국요리,울산 남구 문수로366번길 17 (우)44662,https://place.map.kakao.com/1571463098
152,투썸플레이스 울산시청점,2.5,투썸플레이스,울산 남구 중앙로 163 (우)44676,https://place.map.kakao.com/24181928
153,백금당 울산점,4.3,커피전문점,울산 남구 대공원입구로9번길 24-16 1층 (우)44662,https://place.map.kakao.com/121926854
154,조조참치,4.8,참치회,울산 남구 번영로144번길 5 (우)44703,https://place.map.kakao.com/317467949
155,도링코,4.2,일본식주점,울산 남구 달삼로23번길 6-1 (우)44718,https://place.map.kakao.com/1328689761
156,화봉옛날돼지국밥,3.1,국밥,울산 북구 화봉로 93 (우)44240,https://place.map.kakao.com/13721205
157,칼질팬스테이크하우스,3.5,"스테이크,립",울산 중구 문화의거리 6 2층 (우)44530,https://place.map.kakao.com/27134618
158,우마이도 울산대점,4.4,일본식라면,울산 남구 대학로84번길 8 1층 (우)44611,https://place.map.kakao.com/424756841
159,정지간한식뷔페,5.0,한식뷔페,울산 남구 번영로150번길 14 (우)44703,https://place.map.kakao.com/2033723536
160,울산밀면전문점 본점,3.2,국수,울산 남구 월평로 39 (우)44671,https://place.map.kakao.com/642734410
161,좋은고기 삼산점,4.2,"육류,고기",울산 남구 화합로194번길 24 1층 (우)44713,https://place.map.kakao.com/1446858004
162,본가진미간장게장 울산점,3.2,"게,대게",울산 남구 왕생로128번길 14 (우)44701,https://place.map.kakao.com/26544766
163,칼삼겹살,4.7,삼겹살,울산 남구 왕생로30번길 23 1층 (우)44718,https://place.map.kakao.com/13295163
164,어하복국,3.6,복어,울산 울주군 범서읍 점촌6길 20 (우)44925,https://place.map.kakao.com/295692692
165,쿠우쿠우 굴화하나로마트점,3.7,쿠우쿠우,울산 울주군 범서읍 장검길 10 2층 (우)44933,https://place.map.kakao.com/2112863313
166,해울회전복,5.0,회,울산 남구 정동로80번길 7 1층 (우)44712,https://place.map.kakao.com/21025891
167,고기와국수이야기 본점,2.9,"육류,고기",울산 북구 명촌23길 38 (우)44254,https://place.map.kakao.com/22888494
168,투썸플레이스 울산정자점,4.1,투썸플레이스,울산 북구 동해안로 1540 (우)44233,https://place.map.kakao.com/24962470
