,p_id,0,1,2,3,4,5,6,7,8,9
0,107,0,1,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,1,0,1
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,1,1,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,1,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,1,0,0,0
0,107,0,0,0,0,0,0,1,3,0,1
0,107,0,0,0,0,0,0,1,1,0,1
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,0,0,1
0,107,0,0,0,0,0,0,0,1,0,1
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,1,0,0,0
0,107,0,0,0,0,0,0,0,2,0,0
0,107,1,0,0,0,0,0,1,0,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,1,1,0
0,107,0,0,0,0,0,0,1,0,0,0
0,107,0,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,1,0,1,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,1,0,0,0,0,0,0,2,0,0
0,107,1,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,0,0,1
0,44,0,0,1,0,1,0,2,2,0,1
0,44,0,0,0,0,1,0,0,1,0,0
0,44,0,1,0,0,0,0,0,0,0,0
0,44,0,3,0,0,0,0,4,0,0,3
0,44,1,4,2,2,2,0,6,9,1,10
0,44,1,0,0,0,0,0,0,2,0,0
0,44,1,0,0,0,0,0,3,2,0,2
0,44,0,2,0,0,0,0,0,2,0,0
0,44,0,1,0,0,0,0,0,3,0,0
0,44,1,1,0,0,0,0,0,2,0,0
0,44,0,0,0,0,0,0,2,0,0,0
0,44,0,0,0,0,0,0,2,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,1,4,0,0
0,44,1,0,1,0,0,0,1,11,0,1
0,44,0,0,0,1,0,0,4,3,0,2
0,44,0,0,0,0,0,0,1,2,0,0
0,44,5,0,0,0,1,0,8,5,0,4
0,44,2,2,0,1,1,0,9,3,1,20
0,44,1,0,0,0,0,0,2,5,0,0
0,44,2,0,1,0,0,0,3,4,0,1
0,44,0,0,0,0,1,0,2,1,0,0
0,44,1,0,0,0,1,0,1,2,0,1
0,44,1,1,0,0,0,0,0,3,0,0
0,44,0,1,0,0,0,0,1,3,0,0
0,44,0,0,0,0,0,0,2,2,0,3
0,44,0,0,0,0,0,0,1,2,0,0
0,44,0,0,0,0,0,0,2,4,0,0
0,44,0,1,0,0,0,0,2,3,0,5
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,0,0,0,0,2,0,0,1
0,44,0,0,0,0,1,0,2,2,0,0
0,44,0,0,0,0,0,0,1,4,0,0
0,44,1,0,0,0,0,0,0,3,0,0
0,44,0,1,0,1,1,0,0,2,0,0
0,44,1,1,1,0,1,0,1,3,0,1
0,44,0,0,0,0,0,0,0,2,0,1
0,44,0,0,0,0,0,0,2,2,0,0
0,44,0,0,0,0,0,0,2,0,0,1
0,44,0,0,0,0,0,0,1,2,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,0,1,0,2
0,44,0,0,0,1,0,0,0,3,0,0
0,44,0,0,0,0,0,0,0,2,0,1
0,44,0,0,0,0,1,0,2,1,0,0
0,44,0,0,0,0,0,0,0,2,0,1
0,44,0,1,0,0,0,0,2,1,0,0
0,44,0,0,0,0,0,0,1,3,0,1
0,44,0,0,0,0,0,0,1,1,0,0
0,44,0,0,0,0,0,1,0,0,0,1
0,44,0,0,0,0,0,0,0,2,0,0
0,44,0,0,0,0,0,0,1,7,0,0
0,44,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,1,0,3,4,0,1
0,44,1,0,0,0,0,0,3,2,0,1
0,44,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,0,2,1,0,0
0,44,3,0,0,0,0,0,2,2,0,1
0,44,0,0,0,0,0,0,0,3,0,1
0,44,0,0,0,0,0,0,2,4,0,0
0,44,1,0,0,0,0,0,0,3,0,2
0,44,1,0,0,0,0,0,2,1,0,0
0,44,0,0,0,0,0,1,0,0,0,0
0,44,0,0,0,0,0,0,3,2,0,0
0,44,0,0,0,0,0,0,0,4,0,0
0,44,0,0,0,0,0,0,1,2,0,1
0,44,0,0,0,0,0,0,0,1,0,0
0,44,1,0,0,1,0,0,1,1,0,3
0,44,0,0,0,0,1,0,3,0,0,1
0,44,0,0,0,0,0,0,1,1,0,2
0,44,1,0,0,0,0,0,2,1,0,1
0,44,1,0,0,0,0,0,1,4,0,0
0,44,1,1,0,0,0,0,3,5,0,2
0,44,2,1,0,0,0,0,0,3,0,4
0,44,0,0,0,0,0,0,1,4,0,0
