,Unnamed: 0,p_name,p_address,p_rating,p_category,p_tag,p_review,p_url
1023,1023,메이드스테이,울산 울주군 상북면 소야정길 33-3,5.0,펜션,태그 없음,./kakao_reviews/울산 숙소/메이드스테이.csv,https://place.map.kakao.com/1012923140
1026,1026,스페스11,울산 울주군 삼동면 출강2길 313-3,0.0,펜션,['#제로페이'],./kakao_reviews/울산 숙소/스페스11.csv,https://place.map.kakao.com/2081799497
1028,1028,에이풀하우스,울산 북구 아름1길 42-5,5.0,펜션,"['#물놀이', '#족구장', '#제로페이']",./kakao_reviews/울산 숙소/에이풀하우스.csv,https://place.map.kakao.com/1385083495
1029,1029,바다의꿈,울산 울주군 서생면 나사해안길 123,5.0,펜션,태그 없음,./kakao_reviews/울산 숙소/바다의꿈.csv,https://place.map.kakao.com/18390934
1031,1031,로하스펜션,울산 울주군 상북면 배내로 1061-1,5.0,펜션,태그 없음,./kakao_reviews/울산 숙소/로하스펜션.csv,https://place.map.kakao.com/12728503
1032,1032,샤인펜션,울산 울주군 상북면 배내로 1101,0.0,펜션,['#물놀이'],./kakao_reviews/울산 숙소/샤인펜션.csv,https://place.map.kakao.com/25895608
1033,1033,인어바다펜션,울산 북구 우가1길 36,5.0,펜션,"['#물놀이', '#제로페이']",./kakao_reviews/울산 숙소/인어바다펜션.csv,https://place.map.kakao.com/26624852
1034,1034,장어구이와펜션,울산 동구 고늘로 80-14,0.0,펜션,"['#등억', '#모텔', '#무인텔', '#신불산', '#호텔', '#무인모텔']",./kakao_reviews/울산 숙소/장어구이와펜션.csv,https://place.map.kakao.com/14515909
1036,1036,라테라스펜션,울산 동구 물목길 8-2,3.0,펜션,['#제로페이'],./kakao_reviews/울산 숙소/라테라스펜션.csv,https://place.map.kakao.com/26829061
1037,1037,알프스119하우스,울산 울주군 상북면 배내로 1070,2.0,펜션,"['#가족펜션', '#계곡펜션', '#단체펜션', '#럭셔리펜션', '#물놀이', '#바베큐장', '#애견동반펜션', '#워크샵', '#커플여행', '#커플펜션']",./kakao_reviews/울산 숙소/알프스119하우스.csv,https://place.map.kakao.com/7987309
1038,1038,간절곶등대펜션,울산 울주군 서생면 솔알길 22-12,0.0,펜션,['#조식서비스'],./kakao_reviews/울산 숙소/간절곶등대펜션.csv,https://place.map.kakao.com/14562243
1039,1039,샌디아온천,울산 울주군 상북면 알프스온천2길 58,4.7,펜션,"['#가족펜션', '#단체룸', '#바다낚시', '#야외테라스', '#오션뷰', '#커플펜션', '#제로페이']",./kakao_reviews/울산 숙소/샌디아온천.csv,https://place.map.kakao.com/10499779
1040,1040,휴펜션,울산 울주군 서생면 해맞이로 895-38,0.0,펜션,"['#가족펜션', '#물놀이', '#바베큐장', '#수영장펜션', '#실외수영장', '#커플펜션', '#픽업서비스', '#제로페이']",./kakao_reviews/울산 숙소/휴펜션.csv,https://place.map.kakao.com/20225417
1042,1042,산머루산장펜션,울산 울주군 상북면 등억알프스로 579,0.0,펜션,"['#조식서비스', '#제로페이']",./kakao_reviews/울산 숙소/산머루산장펜션.csv,https://place.map.kakao.com/8399276
1047,1047,진하비치펜션,울산 울주군 서생면 진하9길 22-14,5.0,펜션,"['#2인실', '#가족탕', '#물놀이', '#온돌룸', '#온천수', '#조식서비스', '#키즈풀빌라']",./kakao_reviews/울산 숙소/진하비치펜션.csv,https://place.map.kakao.com/1783489535
1051,1051,솔내음가득히펜션,울산 북구 성골길 23,5.0,펜션,태그 없음,./kakao_reviews/울산 숙소/솔내음가득히펜션.csv,https://place.map.kakao.com/11970966
1052,1052,펜트하우스,울산 북구 동해안로 853,4.4,펜션,"['#물놀이', '#야외테라스', '#오션뷰']",./kakao_reviews/울산 숙소/펜트하우스.csv,https://place.map.kakao.com/27259859
1054,1054,휴펜션,울산 울주군 상북면 배내로 1066,0.0,펜션,"['#노천탕', '#바베큐장', '#산책로', '#오션뷰', '#커플펜션', '#제로페이']",./kakao_reviews/울산 숙소/휴펜션.csv,https://place.map.kakao.com/17637685
1056,1056,인어펜션,울산 북구 우가1길 12,0.0,펜션,"['#조식서비스', '#호캉스', '#제로페이']",./kakao_reviews/울산 숙소/인어펜션.csv,https://place.map.kakao.com/902037255
1057,1057,나디아펜션,울산 울주군 온산읍 강양길 160,5.0,펜션,태그 없음,./kakao_reviews/울산 숙소/나디아펜션.csv,https://place.map.kakao.com/1278449123
